id,barcode,default_code,name,sale_ok,purchase_ok,type,categ_id/id,is_best_deal_promotion,list_price,uom_id/id,uom_po_id/id,purchase_method,sale_delay,available_in_pos,sku_ofm,name_eng_ofm,brand_id/id,cp_cid_ofm,own_brand_ofm,prod_status,prod_remark_ofm,is_delivery_fee_ofm,delivery_fee_ofm,taxes_id/id,supplier_taxes_id/id,invoice_policy
product.ofm_product_product_1,8851433125561,7001901,แผ่นใสชนิดเขียน 100 ไมครอน ONE Essentials,True,True,Stockable Product,product.ofm_product_category_10,False,199,product.ofm_product_uom_25,product.ofm_product_uom_25,On ordered quantities,2,True,319770,Transparency Film 100 Mc.,product.product_brand_1,21811,Yes,Stock,ร่วมโปรโมชั่นทั้งหน้าร้านและCall Center (A) 06 - 2018,FALSE,0,l10n_th.1_tax_output_vat,l10n_th.1_tax_input_vat,Ordered quantities
product.ofm_product_product_2,8850892052234,7241030,เครื่องเคลือบบัตร (A3) ลามิเรล LMR-320,True,True,Stockable Product,product.ofm_product_category_11,False,5290,product.ofm_product_uom_2,product.ofm_product_uom_2,On ordered quantities,2,True,149571,Laminator (A3),product.product_brand_2,21811,No,Stock,,FALSE,0,l10n_th.1_tax_output_vat,l10n_th.1_tax_input_vat,Ordered quantities
product.ofm_product_product_3,8859286109776,7001991,เครื่องเคลือบบัตร เงินดำ นีโอแคล ND-418,True,True,Stockable Product,product.ofm_product_category_11,False,1290,product.ofm_product_uom_2,product.ofm_product_uom_2,On ordered quantities,2,True,322179,Laminator Silver Black,product.product_brand_3,21811,No,Stock,,FALSE,0,l10n_th.1_tax_output_vat,l10n_th.1_tax_input_vat,Ordered quantities
product.ofm_product_product_4,8859286155506,8002583,เครื่องเก็บเงิน ดำ คาสิโอ SE-G1SB,True,True,Stockable Product,product.ofm_product_category_12,False,4990,product.ofm_product_uom_2,product.ofm_product_uom_2,On ordered quantities,2,True,325059,Cash Register Black,product.product_brand_4,21811,No,Stock,,FALSE,0,l10n_th.1_tax_output_vat,l10n_th.1_tax_input_vat,Ordered quantities
product.ofm_product_product_5,4977766720434,8001289,เครื่องพิมพ์อักษร Brother PT-D200,True,True,Stockable Product,product.ofm_product_category_13,False,1790,product.ofm_product_uom_2,product.ofm_product_uom_2,On ordered quantities,2,True,230976,Label Printer,product.product_brand_5,21811,No,Stock,ร่วมโปรโมชั่นทั้งหน้าร้านและCall Center (A) 06 - 2018,FALSE,0,l10n_th.1_tax_output_vat,l10n_th.1_tax_input_vat,Ordered quantities
product.ofm_product_product_6,8858777400224,8210360,เครื่องตรวจธนบัตร ยูนิ-สมาร์ท V-80,True,True,Stockable Product,product.ofm_product_category_14,False,1530,product.ofm_product_uom_2,product.ofm_product_uom_2,On ordered quantities,2,True,174743,BankNote Detector,product.product_brand_6,21811,No,Stock,,FALSE,0,l10n_th.1_tax_output_vat,l10n_th.1_tax_input_vat,Ordered quantities
product.ofm_product_product_7,8858777400408,8001305,เครื่องตรวจนับธนบัตร (UN)  ยูนิ-สมาร์ท US-2750,True,True,Stockable Product,product.ofm_product_category_14,False,9960,product.ofm_product_uom_2,product.ofm_product_uom_2,On ordered quantities,2,True,233976,Counterfeit Banknote Detector (UN),product.product_brand_6,21811,No,Stock,,FALSE,0,l10n_th.1_tax_output_vat,l10n_th.1_tax_input_vat,Ordered quantities
product.ofm_product_product_8,8858777400460,8001672,เครื่องนับธนบัตร ยูนิ-สมาร์ท US-2400,True,True,Stockable Product,product.ofm_product_category_14,False,6990,product.ofm_product_uom_2,product.ofm_product_uom_2,On ordered quantities,2,True,280260,Banknote Counter,product.product_brand_6,21811,No,Stock,ร่วมโปรโมชั่นทั้งหน้าร้านและCall Center (A) 06 - 2018,FALSE,0,l10n_th.1_tax_output_vat,l10n_th.1_tax_input_vat,Ordered quantities
product.ofm_product_product_9,72300626,8003432,เครื่องตรวจนับธนบัตร ขาว นีโอ 0288,True,True,Stockable Product,product.ofm_product_category_14,False,8900,product.ofm_product_uom_2,product.ofm_product_uom_2,On ordered quantities,2,True,347980,Automatic Counting Machine,product.product_brand_7,21811,Yes,Special,,FALSE,0,l10n_th.1_tax_output_vat,l10n_th.1_tax_input_vat,Ordered quantities
product.ofm_product_product_10,8850892058519,7220330,เครื่องเข้าเล่ม เชร็ดเอท  SD-1500,True,True,Stockable Product,product.ofm_product_category_15,False,3790,product.ofm_product_uom_2,product.ofm_product_uom_2,On ordered quantities,2,True,150238,Binding Machine,product.product_brand_8,21811,No,Stock,,FALSE,0,l10n_th.1_tax_output_vat,l10n_th.1_tax_input_vat,Ordered quantities
